f,,
,,
箇所,修　正　前,修　正　後
top,思考を手放し、あなたの源流（TAO）に還る旅を・・・,天と地を結ぶ天橋立、空と海のあいだで本来の自分に還る時間を・・・
top,京都府宮津市日置,京都府・宮津市・天橋立
top,山と海のあいだに佇む一棟貸しのコテージ。湧き水や薪の音に包まれながら,空と海のあいだに佇む一棟貸しのコテージ。天然ハーブロウリュや薪の音に包まれながら
top,朝は湧き水を汲み、静かな朝粥を整えて過ごします。,朝は湧き水を利用し、静かな朝粥を整えて過ごします。
top,日置の湧き水を,日置の上水を
top,水風呂は日置の湧き水を想定。,水風呂は日置の上水を使用。
top,料金,1棟料金、追加人数料金なしへ　6・7・8月20％OFF
コンセプト,"約2,500年前、中国の古い書物に残された、老子 · Lao Tzuの言葉です。","約2,500年前、の古い書物に残された、老子 · Lao Tzuの言葉です。"
コンセプト,TAO は、この言葉のもうひとつの読み方──「自分の源流に還る」という日本語の感触を、宿の名前として借りました。,TAO は、この道とゆう感覚を、宿の名前として借りました。
コンセプト,湧き水のそばで火を起こすことや、,薪を使用したサウナストーブで火を起こすことや、
コンセプト,夕方に窓辺で本を閉じる時間,？
コンセプト,源流に還る時間,本来の自分に還る時間
コンセプト,湧き水を汲む,湧き水を頂き
滞在体験,湧き水を汲んで,湧き水を使用して
滞在体験,葉擦れの音,鳥たちのさえずり
滞在体験,海と山を望む横長の窓のそばで、,空と海を望む横長の窓のそばで、
滞在体験,湯気,ロウリュ
滞在体験,海の方角に夕景がしずかに沈んでいきます。,空の黄昏と共に。
滞在体験,夜の過ごし方,調理・となりのcafé・近隣のレストラン紹介の文を追加
滞在体験,湧水のしずく,ロウリュの音
滞在体験,夕食の提供はありません。,削除して、となりcaféで軽食の提供を最後に追記
滞在体験,土鍋で炊く粥、湧き水のスープ、焼き魚など。素朴な朝粥を、海を望むキッチンで。詳細メニューと有無は確定後にご案内します。,湧水で炊く素朴な朝粥を、海を望むキッチンで。
滞在体験,日置の焼き魚,おかず数品
滞在体験,日置の湧き水,湧き水について
滞在体験,飲用、朝の調理、水風呂に。土地の水をそのまま使うことが、この滞在の中心にあります。水質情報の公開可否は調整中です。,飲用、朝の調理に。土地の水をそのまま使うことが、この滞在の中心にあります。真名井神社と上世屋地区の湧水を調整して。
滞在体験,近隣スーパー・食材調達,にしがき府中店・丹後の鮮魚屋橋立やまいち・クスリのアオキ男山店・ファミリーマート宮津日置店
サウナ,湯気のなかで、考えごとが少しずつ落ちていく。,ロウリュのなかで、考えごとが少しずつ落ちていく。
サウナ,フィンランド製の薪ストーブ NARVI。湯気の質が、樹種で変わります。,フィンランド製の薪ストーブ NARVI。ロウリュの質が良く、息苦しさがありません。
サウナ,滞在分の薪を付属。樹種は周辺地の広葉樹を中心に。追加は別途を予定しています。,90分2セット分程度の薪を付属。樹種は周辺地の広葉樹を中心に。追加は別途を予定しています。
サウナ,湧き水　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　水風呂は、日置の湧き水を想定しています。冷たさだけでなく、水のやわらかさを感じる時間です。,水風呂　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　日置の上水をしています。隣接の汲み上げ方式の上水のため冷たさだけでなく、水のやわらかさを感じる水質です。
サウナ,"湧き水使用方針
水風呂には日置の湧き水を使用する方針です。水質情報や表記範囲の公開可否は確認中です。Confirm",削除
サウナ,湯気　（湯気はお風呂の表現でサウナに関してはロウリュ・水蒸気で）,ロウリュ
施設　　　　設備,,パジャマが無いこと・ベットの仕様を追記
施設　　　　設備,間接照明,調光照明
施設　　　　設備,日置の湧き水を想定した水風呂,日置の上水を使用した水風呂
施設　　　　設備,"滞在分の薪を付属。追加は別途を予定。
",90分2セット分程度の薪を付属。樹種は周辺地の広葉樹を中心に。追加は別途を予定しています。
施設　　　　設備,冷蔵庫／電子レンジ／電気ケトル,炊飯器えお追記
施設　　　　設備,ヘアゴム削除,
施設　　　　設備,駐車場,4台
アクセス,,送迎可能
FAQ,,湧水の水風呂削除
,その他　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　写真変更など・予約サイトをエアビーと一休.comへ申請中・価格を可動率があがるまでは人数による追加金額を無くし1日1棟価格として、複数人数での宿泊でお得感を演出。6・7・8月ディスカウント導入でスタート時の予約を促進。　　                                                  その他、全体のデザインを含めて提案あればお願い致します。,
